,id,type,title,director,country,release_year,rating,genre,duration_in_min,duration_in_seasons
0,0,Movie,The Grand Seduction,Don McKellar,Canada,2014,13+,"Comedy, Drama",113,0
1,1,Movie,Take Care Good Night,Girish Joshi,India,2018,13+,"Drama, International",110,0
2,2,Movie,Secrets of Deception,Josh Webber,United States,2017,13+,"Action, Drama, Suspense",74,0
3,3,Movie,Pink: Staying True,Sonia Anderson,United States,2014,13+,Documentary,69,0
4,4,Movie,Monster Maker,Giles Foster,United Kingdom,1989,13+,"Drama, Fantasy",45,0
5,5,Movie,Living With Dinosaurs,Paul Weiland,United Kingdom,1989,13+,"Fantasy, Kids",52,0
6,6,Movie,Hired Gun,Fran Strine,United States,2017,13+,"Documentary, Special Interest",98,0
7,7,Movie,Grease Live!,"Thomas Kail, Alex Rudzinski",United States,2016,13+,Comedy,131,0
8,8,Movie,Global Meltdown,Daniel Gilboy,Canada,2017,13+,"Action, Science Fiction, Suspense",87,0
9,9,Movie,David's Mother,Robert Allan Ackerman,United States,1994,13+,Drama,92,0
10,10,Movie,Forest Fairies,Justin G. Dyck,Canada,2016,13+,"Adventure, Kids",88,0
11,11,Movie,Take Care,Liz Tuccillo,United States,2014,13+,Comedy,93,0
12,12,Movie,The Night Eats The World,Dominique Rocher,France,2018,13+,"Horror, Suspense",94,0
13,13,Movie,Resilencia,Jep Barcelona,Spain,2020,13+,"Documentary, Sports",46,0
14,14,Movie,Elon Musk: The Real Life Iron Man,Sonia Anderson,United Kingdom,2018,13+,Documentary,74,0
15,15,Movie,Summer '03,Becca Gleason,United States,2019,13+,"Comedy, Drama",96,0
16,16,Movie,Zoombies,Glenn Miller,Italy,2016,13+,"Horror, Science Fiction",87,0
17,17,TV Show,Zoo Babies,Unknown,Italy,2008,ALL,"Kids, Special Interest",0,1
18,18,TV Show,Zoë Coombs Marr: Bossy Bottom,Unknown,Italy,2020,18+,"Comedy, Talk Show and Variety",0,1
19,19,Movie,Zoe,Drake Doremus,Italy,2018,17+,Science Fiction,104,0
20,20,TV Show,Zoboomafoo,Unknown,Italy,2001,0+,Kids,0,1
21,21,TV Show,Zo Zo Zombie: Mini-Series,Unknown,Italy,2020,7+,"Action, Anime, Comedy",0,1
22,22,Movie,Zis Boom Bah,William Nigh,Italy,1941,UNRATED,"Arts, Entertainment, and Culture, Comedy, Drama",62,0
